  时间         温度    气压     湿度       高度      经度        纬度     位势高度
    1.040      41.2    883.7     4.0       985.2  100.365226  41.325517      0
    2.007      41.5    883.6     4.0       979.8  100.365294  41.325394      0
    3.974      41.7    883.6     4.1       979.8  100.365294  41.325394      0
    4.941      41.6    883.6     4.6       981.4  100.365274  41.325425      0
    5.908      41.6    883.5     4.5       979.7  100.365294  41.325333      0
    6.876      41.5    883.6     4.2       981.6  100.365281  41.325377      0
    7.843      41.6    883.5     4.1       986.8  100.365322  41.325384      0
    8.810      41.6    883.5     3.9       984.1  100.365294  41.325398      0
    9.777      41.1    883.4     4.2       984.3  100.365308  41.325394      0
   10.744      40.6    883.5     4.5       985.1  100.365294  41.325401      0
   11.712      40.4    883.5     4.4       987.9  100.365424  41.325377      0
   12.679      40.6    883.6     4.8       983.0  100.365397  41.325394      0
   13.646      40.7    883.7     4.6       987.2  100.365397  41.325408      0
   14.598      40.6    883.7     4.8       986.5  100.365397  41.325418      0
   15.580      40.6    883.7     4.9       986.4  100.365411  41.325432      0
   16.532      40.6    883.5     4.9       985.4  100.365404  41.325442      0
   17.515      40.5    883.6     4.6       977.5  100.365349  41.325452      0
   18.466      40.5    883.7     4.5       982.1  100.365390  41.325469      0
   19.434      40.6    883.6     4.3       980.8  100.365383  41.325473      0
   20.401      40.7    883.7     5.1       980.7  100.365397  41.325483      0
   21.368      40.9    883.7     4.4       982.7  100.365383  41.325500      0
   22.335      41.1    883.8     4.6       987.8  100.365363  41.325514      0
   23.302      41.0    883.9     4.8       987.4  100.365363  41.325514      0
   24.270      40.7    883.8     4.4       980.3  100.365383  41.325521      0
   25.237      40.5    883.6     4.6       982.2  100.365376  41.325524      0
   26.204      40.3    883.6     4.6       977.6  100.365356  41.325510      0
   27.171      40.3    883.6     4.6       977.4  100.365370  41.325521      0
   28.138      40.3    883.6     4.1       976.6  100.365376  41.325528      0
   29.137      40.3    883.6     4.6       976.7  100.365370  41.325528      0
   30.040      40.5    883.6     4.3       975.7  100.365370  41.325528      0
   31.992      40.7    883.6     4.1       975.2  100.365370  41.325531      0
   32.974      40.7    883.7     4.4       975.2  100.365370  41.325531      0
   33.926      40.6    883.7     4.1       975.1  100.365370  41.325531      0
   34.909      40.6    883.6     3.8       975.4  100.365370  41.325531      0
   35.860      40.9    883.6     3.3       975.1  100.365370  41.325528      0
   36.843      41.1    883.8     4.0       970.8  100.365335  41.325504      0
   37.842      41.2    883.7     4.2       965.7  100.365363  41.325517      0
   38.762      41.4    883.9     4.1       974.1  100.365383  41.325558      0
   39.729      41.6    883.8     4.1       977.4  100.365322  41.325480      0
   40.696      41.4    883.7     4.1       969.5  100.365383  41.325582      0
   41.664      40.9    883.8     4.1       969.4  100.365486  41.325514      0
   42.631      40.3    883.7     4.0       969.2  100.365370  41.325644      0
   43.598      39.9    883.6     5.0       963.6  100.365404  41.325534      0
